tutorialarea_shop_title	Shop Items
area_shop_levelMaxSoldOut	Level maximum\nreached.
area_shopCouplingTalkUnlock_message	{0}Unlock at Level [-]{1}{2}[-]{3}[-]
band_deckEdit_setupMainBandButton	Set\nMain
band_deckEditSituationSelect_memberListLabel	Member List
band_deckEditSituationSelect_caption	Choose your band members!
band_exchange_cellExchangeButton	Exchange
band_exchange_cellExchangeUpperLabel	Exchange limit reached.\nNo more available.
band_exchange_cellExchangeUpperLabel_isHaving	Cannot exchange as this\nitem is already owned.
band_exchange_cellExpirationLabel	Ends {0}
band_exchange_cellResetBalloonMonthly	Resets 1st\nof the month
band_exchange_cellResetBalloonWeekly	Resets\nMondays
band_exchange_headerGetSealButton	Get Stickers
band_exchange_duplicatedDialogMessage	Cannot exchange as this item is in your Gift Box.
band_exchange_expiresDialogMessage	This exchange is no longer available.
band_exchange_expiresDialogTitle	Expired
band_exchange_expiresLabel	Period
band_exchange_eventTitle	{0} Exchange Items
band_memberList_waitingRoomButton	Waiting Room
band_practice_emptyTicket	No Studio Tickets owned.
band_situationDetail_changeIllustButton	Switch Art
band_situationDetail_episodeButton	Episode
band_situationDetail_expandButton	Zoom
band_situationDetail_forLevelUp	Next Lv:
band_situationDetail_memorialEpisodeButton	Special Episode
band_situationDetail_practiceButton	Practice
band_situationDetail_trainingButton	Training
band_situationDetail_emptyEpisode	There are no Episodes for this member.
band_situationDetail_buttonSkillPractice	Skill\nPractice
band_skillPractice_emptyTicket	No Skill Tickets owned.
band_skillPractice_tabSkillTicket	Ticket
band_skillPractice_tabWaitingRoom	Waiting Room
band_sortingKind_level	Level
band_sortingKind_paramAll	Power
band_sortingKind_paramPerformance	Performance
band_sortingKind_paramTechnique	Technique
band_sortingKind_paramVisual	Visuals
band_sortingKind_rarity	Rarity
band_sortingKind_timestamp	Date
band_sortingKind_skillLevel	Skill Lv.
band_sortingOrder_asc	Asc
band_sortingOrder_desc	Desc
band_top_deckEditButton	Edit Band
band_top_exchangeShopButton	Exchange
band_top_memberListButton	Member List
band_top_profileButton	Profile
band_training_emptyMessage	No members ready for training.
band_waitingRoom_allExchangeSelectButton	　Select All
band_waitingRoom_emptyMemberMessage	No members available.
band_waitingRoom_exchangeButton	Exchange
band_waitingRoom_getMichelleSealLabel	Michelle Stickers
band_waitingRoom_selectedCardLabel	{0} Selected
bandEdit_editError_title	Edit Error
bandEdit_memberShortageError_contents	Please select 5 members for your Main Band.
challengeEvent_common_scoreRankingCheckButton	Score Ranking
challengeEvent_common_scoreRankingRewardCheckButton	Score Ranking Prizes
challengeEvent_common_deckBonus	Band Bonus
challengeEvent_top_challengeLiveEvent	Live Challenge Event
challengeEvent_top_description	Collect Challenge Pts to play!
challengeEvent_result_scoreaAttackCP_Description	※Challenge Pts cannot be earned from playing the Challenge Song.
challengeEvent_result_scoreaAttackMember_Description	※Band Bonus does not apply to Event Pts\n　earned from playing Challenge Songs.
challengeEvent_ranking_description	High Score takes your highest score across all difficulties. Oldest score will be prioritized.
characterSelect_description	Please select a character.
commonEvent_complete_storyBR	All stories have\nbeen unlocked.
commonEvent_complete_reward	All prizes have\nbeen earned.
commonEvent_currentGrade	Current Rank
commonEvent_eventNotEntry	This Event has ended.\nPlease wait for the next one.
commonEvent_eventPoint	Event Pts
commonEvent_eventPRanking	Event Pts Ranking
commonEvent_getEventPoint	Event Pts
commonEvent_nextStory	Next Story
commonEvent_silde_title	How to Play
commonEvent_requireNextReward	Next Prize
commonEvent_rewardDistributionDescription	Prizes will be sent out around {0}.
commonEvent_point	{0} Pts
commonEvent_ranking_personal	{0}
commonEvent_releasedStory	Story {0}/{1}   Unlocked
commonEvent_status_open	Event Period
commonEvent_status_open_day	Starts
