tutorialarea_shop_title,판매 목록
area_shop_levelMaxSoldOut,더 이상\n레벨 업을 할 수 없습니다.
area_shopCouplingTalkUnlock_message,{0} 레벨[-]{1} {2}[-]{3}에서 오픈[-]
band_deckEdit_setupMainBandButton,메인\n설정
band_deckEditSituationSelect_memberListLabel,멤버 목록
band_deckEditSituationSelect_caption,교체할 멤버를 선택하자!
band_exchange_cellExchangeButton,교환
band_exchange_cellExchangeUpperLabel,교환 한도에 도달하여\n더 이상 교환할 수 없습니다.
band_exchange_cellExchangeUpperLabel_isHaving,획득하셨으므로\n교환 할 수 없습니다.
band_exchange_cellExpirationLabel,{0}까지
band_exchange_cellResetBalloonMonthly,매월 1일에\n초기화
band_exchange_cellResetBalloonWeekly,매주 월요일에\n초기화
band_exchange_headerGetSealButton,미셸 스티커를 획득
band_exchange_duplicatedDialogMessage,이미 선물에 있어 교환할 수 없습니다.
band_exchange_expiresDialogMessage,교환 기간이 종료되어 교환할 수 없습니다.
band_exchange_expiresDialogTitle,종료
band_exchange_expiresLabel,교환 기간
band_exchange_eventTitle,교환 아이템 목록 「{0}」
band_memberList_waitingRoomButton,대기실
band_practice_emptyTicket,연습티켓이 없습니다.
band_situationDetail_changeIllustButton,일러스트 변경
band_situationDetail_episodeButton,에피소드
band_situationDetail_expandButton,확대
band_situationDetail_forLevelUp,앞으로
band_situationDetail_memorialEpisodeButton,메모리얼 에피소드
band_situationDetail_practiceButton,연습
band_situationDetail_trainingButton,특훈
band_situationDetail_emptyEpisode,이 멤버는 에피소드가 없습니다.
band_situationDetail_buttonSkillPractice,스킬\n연습
band_skillPractice_emptyTicket,스킬 연습티켓을 소지하고 있지 않습니다.
band_skillPractice_tabSkillTicket,티켓
band_skillPractice_tabWaitingRoom,대기실
band_sortingKind_level,레벨
band_sortingKind_paramAll,종합력
band_sortingKind_paramPerformance,퍼포먼스
band_sortingKind_paramTechnique,테크닉
band_sortingKind_paramVisual,비주얼
band_sortingKind_rarity,레어도
band_sortingKind_timestamp,입수순
band_sortingKind_skillLevel,스킬Lv.
band_sortingOrder_asc,오름순
band_sortingOrder_desc,내림순
band_top_deckEditButton,밴드 편성
band_top_exchangeShopButton,교환소
band_top_memberListButton,멤버 목록
band_top_profileButton,프로필
band_training_emptyMessage,특훈이 가능한 멤버가 없습니다.
band_waitingRoom_allExchangeSelectButton,전원 선택
band_waitingRoom_emptyMemberMessage,멤버가 없습니다.
band_waitingRoom_exchangeButton,교환
band_waitingRoom_getMichelleSealLabel,미셸 스티커 획득
band_waitingRoom_selectedCardLabel,{0}명 선택 중
bandEdit_editError_title,편성 오류
bandEdit_memberShortageError_contents,메인 밴드는 멤버를 5명 설정해주세요.
challengeEvent_common_scoreRankingCheckButton,스코어 랭킹
challengeEvent_common_scoreRankingRewardCheckButton,스코어 랭킹 보상
challengeEvent_common_deckBonus,편성 보너스
challengeEvent_top_challengeLiveEvent,챌린지 LIVE 이벤트
challengeEvent_top_description,챌린지P를 모아서 챌린지 음악을 플레이!
challengeEvent_result_scoreaAttackCP_Description,※챌린지 음악에선 챌린지P를 획득할 수 없습니다.
challengeEvent_result_scoreaAttackMember_Description,※챌린지 음악에서 획득하는 이벤트P는\n 멤버 보너스가 적용되지 않습니다.
challengeEvent_ranking_description,하이 스코어는 전체 난이도 중 가장 높은 스코어를 적용합니다. 점수가 같은 경우에도 순위는 개별적으로 나뉘어 다르게 적용됩니다.
characterSelect_description,캐릭터를 선택해주세요.
commonEvent_complete_storyBR,모든 스토리를\n오픈하였습니다.
commonEvent_complete_reward,모든 보상을 획득했습니다.
commonEvent_currentGrade,현재 순위
commonEvent_eventNotEntry,이벤트가 종료되었습니다.\n다음 이벤트를 기대해주세요.
commonEvent_eventPoint,이벤트P
commonEvent_eventPRanking,이벤트P 랭킹
commonEvent_getEventPoint,적립 이벤트P
commonEvent_nextStory,다음 스토리
commonEvent_silde_title,이용방법
commonEvent_requireNextReward,다음 보상
commonEvent_rewardDistributionDescription,보상은 {0}경에 지급될 예정입니다.
commonEvent_point,{0}P
commonEvent_ranking_personal,{0}위
commonEvent_releasedStory,{0}/{1}화 오픈 완료
commonEvent_status_open,진행기간
commonEvent_status_open_day,진행일
commonEvent_status_collection,집계기간
commonEvent_status_result,발표기간
commonEvent_story_descriptionLive,이벤트P를 획득!
commonEvent_totalPoint,누계 이벤트P
commonEvent_eventBoxGacha_title,마리나 씨한테 보상을 받자!
costume_defaultDescription,편성 멤버 의상
costume_defaultDescriptionDetail,※메인 밴드로 편성되지 않은 멤버는\n「스테이지」의상으로 설정됩니다.
degreeSelect_currentDegree_caption,현재 칭호
degreeSelect_message_notExist,획득한 칭호가 없습니다.
degreeSelect_selectDegree_eventTab,이벤트
degreeSelect_selectDegree_normalTab,일반
degreeSelect_selectDegree_caption,변경할 칭호
difficulty_easy,EASY
difficulty_normal,NORMAL
difficulty_hard,HARD
difficulty_expert,EXPERT
dialog_achievement_a,A
dialog_achievement_b,B
dialog_achievement_c,C
dialog_achievement_combo_english,COMBO
dialog_achievement_combo,콤보
dialog_achievement_fullCombo,풀 콤보
dialog_achievement_reward,달성 보상
dialog_achievement_s,S
dialog_achievement_ss,SS
dialog_achievement_score,스코어
dialog_achievement_scoreRank,스코어 랭크
dialog_achievement_viewReward,달성 보상 목록
dialog_ageAuth_attention,※도중에 변경할 수 없습니다.※
dialog_ageAuth_errorMessage,생년월일이 올바르지 않습니다.
dialog_ageAuth_message,생년월일을 입력해주세요.
dialog_ageAuth_title,연령 확인
dialog_ageAuth_wordChristianEra,서기
dialog_ageAuth_wordMonth,월생
dialog_ageAuth_wordYear,년
dialog_ageAuthDone_message,[505050]나이를 확인했습니다.[-]
dialog_ageAuthDone_title,입력완료
dialog_ageAuthPurchaseError_title,구매 오류
dialog_areaItemDetail_title,에어리어 아이템 상세
dialog_areaShop_buyConfirm,이 에어리어 아이템을 구매하시겠습니까?
dialog_areaShop_buyMusicConfirm,이 음악을 구매하시겠습니까?
dialog_areaShop_levelupConfirm,이 에어리어 아이템을 레벨 업 하시겠습니까?
dialog_areaShop_buyMusic,음악을 구매했습니다!
dialog_areaShop_levelup,에어리어 아이템을 레벨 업 했습니다!
dialog_areaShop_replace,설치된 에어리어 아이템을 변경하시겠습니까?
dialog_areaShop_send,구매한 에어리어 아이템을 창고로 보냈습니다.
dialog_areaShop_requireFormat,{0}/{1}
dialog_areaShop_bandRank,밴드 랭크
dialog_areaShop_requireItem,필요 아이템
dialog_areaShop_requireItemAndBandRank,필요 아이템・밴드 랭크
dialog_areaShopReplace_replaceButton,바꾸기
dialog_areaShopReplace_putting,설치 중
dialog_areaItemDetail_captionFlavor,설명
dialog_areaItemDetail_captionLevel,레벨
dialog_areaItemDetail_captionParamUp,에어리어 아이템 효과
dialog_areaItemDetail_captionPlace,설치 장소
dialog_areaItemDetail_effect,효과
dialog_areaItemDetail_tabDetail,상세 정보
dialog_areaItemDetail_tabTalk,발생 대화
dialog_areaItemDetail_requireItem,필요 코인・아이템
dialog_badPenalty_leftTime,기능 제한 중 : 앞으로
dialog_badPenalty_message,고객님이 라이브에서 다른 고객님께 불편을 주신 행위가 확인되어 현재 일시적으로 기능이 제한된 상태입니다.\n양해 부탁 드립니다.
dialog_badPenalty_title,주의
dialog_bandNameChange_message,밴드 이름 변경이 완료되었습니다.
dialog_bandNameChange_title,밴드 이름 변경
dialog_bandNameChangeError_message,밴드 이름 변경에 실패했습니다. 
dialog_bandRankReward_title,밴드 랭크 보상 목록
dialog_bandRankReward_untilRankup,랭크 업까지
dialog_bandRankReward_totalExp,누계 EXP
dialog_bandRankReward_bandStoryDescription,밴드 스토리 1장 「{0}」
dialog_bandRankReward_areaItemDescription,{0} 레벨 최대치 {1}이(가) 해방
dialog_bandRankReward_rewardDegree,칭호 「{0}」
dialog_bandRankReward_rewardList_title,보상 획득
dialog_bandRankReward_rewardList_description,밴드 랭크 달성 보상을 획득했습니다!
dialog_playerSearchError_message,지정된 플레이어를 찾을 수 없습니다.
dialog_playerSearchError_title,에러
dialog_playerSearch_description,플레이어의 ID를 입력해주세요.
dialog_playerSearch_searchButtonLabel,검색
dialog_billingNotSurpported_message,고객님의 디바이스로는 구매가 불가능합니다.
dialog_expendCP_title,소비 챌린지P 선택
dialog_expendCP_warning,※소비하는 챌린지P가 많을수록 이벤트P를 많이 얻을 수 있습니다.\n※소비하는 챌린지P의 양이 스코어에 영향을 주진 않습니다.\n※챌린지 음악에서는 라이브 부스트가 소비되지 않습니다.
dialog_expendCP_shortage,소지한 챌린지P가 부족합니다.
dialog_cheatError_message,통신 에러가 발생했습니다.\n타이틀로 이동합니다.
dialog_costume_getMessage,새로운 의상을 획득했습니다.
dialog_costume_getTitle,의상 획득
dialog_deckEditBandName_title,밴드 이름 변경
dialog_deckEditDeleteDeck_message,이 밴드를 초기화합니다.\n진행하시겠습니까?
dialog_deckEditDeleteDeck_title,초기화
dialog_deckEditDeleteDeckDone_message,밴드를 초기화했습니다.
dialog_deckEditDeleteDeckDone_title,초기화
dialog_deckEditDeleteDeckError_message,밴드 초기화에 실패했습니다.
dialog_deckEditMainBandSelected_message,{0}을(를) 메인 밴드로 설정하였습니다.
dialog_deckEditMainBandSelected_title,메인 밴드 변경
dialog_deckEditNotEnoughMemberError_message,멤버 5명이 설정되지 않았습니다.\n메인 밴드로 설정할 수 없습니다.
