tutorialarea_shop_title,販售物一覽
area_shop_levelMaxSoldOut,已經無法\n再提升等級
area_shopCouplingTalkUnlock_message,  {0}將於等級[-]{1}{2}[-]{3}後解放[-]
band_deckEdit_setupMainBandButton,設為\n主力
band_deckEditSituationSelect_memberListLabel,團員一覽
band_deckEditSituationSelect_caption,請選擇要進行替換的團員！
band_exchange_cellExchangeButton,交換
band_exchange_cellExchangeUpperLabel,交換次數已達上限\n所以無法再進行交換
band_exchange_cellExchangeUpperLabel_isHaving,已經獲得了\n故無法進行交換
band_exchange_cellExpirationLabel,{0}為止
band_exchange_cellResetBalloonMonthly,將於每月的１日\n進行重置
band_exchange_cellResetBalloonWeekly,將於每周一\n進行重置
band_exchange_headerGetSealButton,獲得米歇爾貼紙
band_exchange_duplicatedDialogMessage,已經獲得該禮物故無法進行交換。
band_exchange_expiresDialogMessage,由於已經超過交換期限故無法進行交換。
band_exchange_expiresDialogTitle,超過期限
band_exchange_expiresLabel,交換期限
band_exchange_eventTitle,交換道具一覽 [{0}]
band_memberList_waitingRoomButton,休息室
band_practice_emptyTicket,並沒有持有練習券。
band_situationDetail_changeIllustButton,改變圖像
band_situationDetail_episodeButton,EPISODE
band_situationDetail_expandButton,放大
band_situationDetail_forLevelUp,還差
band_situationDetail_memorialEpisodeButton,MEMORIAL EPISODE
band_situationDetail_practiceButton,練習
band_situationDetail_trainingButton,特訓
band_situationDetail_emptyEpisode,此名團員沒有EPISODE。
band_situationDetail_buttonSkillPractice,技能\n練習
band_skillPractice_emptyTicket,並沒有持有技能練習券。
band_skillPractice_tabSkillTicket,券
band_skillPractice_tabWaitingRoom,休息室
band_sortingKind_level,等級
band_sortingKind_paramAll,總合力
band_sortingKind_paramPerformance,PERFORMANCE
band_sortingKind_paramTechnique,TECHNIQUE
band_sortingKind_paramVisual,VISUAL
band_sortingKind_rarity,稀有度
band_sortingKind_timestamp,獲得順序
band_sortingKind_skillLevel,技能Lv.
band_sortingOrder_asc,昇順
band_sortingOrder_desc,降順
band_top_deckEditButton,樂團編成
band_top_exchangeShopButton,交換所
band_top_memberListButton,團員一覽
band_top_profileButton,個人資料
band_training_emptyMessage,沒有可以進行特訓的團員。\n只有等級達到ＭＡＸ的★★★以上團員，\n才能進行特訓。
band_waitingRoom_allExchangeSelectButton,　選擇全員
band_waitingRoom_emptyMemberMessage,沒有符合的團員。
band_waitingRoom_exchangeButton,交換
band_waitingRoom_getMichelleSealLabel,獲得米歇爾貼紙
band_waitingRoom_selectedCardLabel,{0}人選擇中
bandEdit_editError_title,編成錯誤
bandEdit_memberShortageError_contents,請在主力樂團中設定5位團員。
challengeEvent_common_scoreRankingCheckButton,SCORE排名
challengeEvent_common_scoreRankingRewardCheckButton,SCORE排名報酬
challengeEvent_common_deckBonus,編成報酬
challengeEvent_top_challengeLiveEvent,挑戰LIVE活動
challengeEvent_top_description,收集挑戰P遊玩挑戰樂曲!
challengeEvent_result_scoreaAttackCP_Description,※遊玩挑戰樂曲無法獲得挑戰P。
challengeEvent_result_scoreaAttackMember_Description,※挑戰樂曲可獲得的活動P\n   無法發揮團員加成效果。
challengeEvent_ranking_description,HIGH SCORE會紀錄全難易度中的最高SCORE。SCORE相同時依先後排序。
characterSelect_description,請選擇角色
commonEvent_complete_storyBR,已解鎖\n全部故事。
commonEvent_complete_reward,已經獲得所有的報酬。
commonEvent_currentGrade,目前的排名
commonEvent_eventNotEntry,活動結束。\n敬請耐心等候下次舉辦。
commonEvent_eventPoint,活動P
commonEvent_eventPRanking,活動P排名
commonEvent_getEventPoint,獲得活動P
commonEvent_nextStory,次回故事
commonEvent_silde_title,遊戲方式
commonEvent_requireNextReward,下個報酬
commonEvent_rewardDistributionDescription,報酬預計{0}左右發送
commonEvent_point,{0}P
commonEvent_ranking_personal,第{0}名
commonEvent_releasedStory,{0}/{1}話   解鎖完畢
commonEvent_status_open,舉辦中
commonEvent_status_open_day,舉辦日
commonEvent_status_collection,排名統計中
commonEvent_status_result,結果發表
commonEvent_story_descriptionLive,將活動P以及胸章GET吧！
commonEvent_totalPoint,累積活動P
commonEvent_eventBoxGacha_title,向麻里奈小姐領取獎勵吧！
costume_defaultDescription,編輯團員的服裝
costume_defaultDescriptionDetail,※未設定為主力的團員將以「舞台表演」的服裝表示。
degreeSelect_currentDegree_caption,現在的稱號
degreeSelect_message_notExist,無已獲得的稱號。
degreeSelect_selectDegree_eventTab,活動
degreeSelect_selectDegree_normalTab,普通
degreeSelect_selectDegree_caption,變更後的稱號
difficulty_easy,EASY
difficulty_normal,NORMAL
difficulty_hard,HARD
difficulty_expert,EXPERT
dialog_achievement_a,A
dialog_achievement_b,B
dialog_achievement_c,C
dialog_achievement_combo_english,COMBO
dialog_achievement_combo,COMBO
dialog_achievement_fullCombo,FULL COMBO
dialog_achievement_reward,達成報酬
dialog_achievement_s,S
dialog_achievement_ss,SS
dialog_achievement_score,SCORE
dialog_achievement_scoreRank,SCORE RANK
dialog_achievement_viewReward,達成報酬一覧
dialog_ageAuth_attention,※無法在途中進行變更※
dialog_ageAuth_errorMessage,出生年月並不正確。
dialog_ageAuth_message,請輸入出生年月。
dialog_ageAuth_title,確定年齡
dialog_ageAuth_wordChristianEra,西元
dialog_ageAuth_wordMonth,月出生
dialog_ageAuth_wordYear,年
dialog_ageAuthDone_message,[505050]已確定年齡。[-]
dialog_ageAuthDone_title,輸入完成
dialog_ageAuthPurchaseError_title,購買錯誤
dialog_areaItemDetail_title,區域道具詳細資料
dialog_areaShop_buyConfirm,確定購買這區域道具嗎？
dialog_areaShop_buyMusicConfirm,確定購買這首歌曲嗎？
dialog_areaShop_levelupConfirm,確定進行這個區域道具的等級提升嗎？
dialog_areaShop_buyMusic,已確定歌曲購買！
dialog_areaShop_levelup,區域道具已經升級完成！
dialog_areaShop_replace,是否進行目前設置的區域道具替換呢？
dialog_areaShop_send,購買完成的區域道具將送至倉庫。
dialog_areaShop_requireFormat,{0}/{1}
dialog_areaShop_bandRank,樂團ＲＡＮＫ
dialog_areaShop_requireItem,所需道具
dialog_areaShop_requireItemAndBandRank,所需道具‧樂團ＲＡＮＫ
dialog_areaShopReplace_replaceButton,進行替換
dialog_areaShopReplace_putting,設置中
dialog_areaItemDetail_captionFlavor,說明
dialog_areaItemDetail_captionLevel,等級
dialog_areaItemDetail_captionParamUp,區域道具效果
dialog_areaItemDetail_captionPlace,設置場所
dialog_areaItemDetail_effect,效果
dialog_areaItemDetail_tabDetail,詳細情報
dialog_areaItemDetail_tabTalk,發生對話
dialog_areaItemDetail_requireItem,所需金幣‧道具
dialog_badPenalty_leftTime,功能限制中：還有
dialog_badPenalty_message,由於確定玩家您的帳號有妨礙其他玩家進行LIVE的事情，所以現在暫時有部分功能進行限制。\n再請多多包涵。
dialog_badPenalty_title,請注意
dialog_bandNameChange_message,樂團名稱變更完成。
dialog_bandNameChange_title,變更樂團名稱
dialog_bandNameChangeError_message,樂團名稱變更失敗。
dialog_bandRankReward_title,樂團ＲＡＮＫ報酬一覽
dialog_bandRankReward_untilRankup,距離下個ＲＡＮＫ還要
dialog_bandRankReward_totalExp,累計EXP
dialog_bandRankReward_bandStoryDescription,樂團故事第1章「{0}」
dialog_bandRankReward_areaItemDescription,{0}等級上限{1}已解放
dialog_bandRankReward_rewardDegree,稱號「{0}」
dialog_bandRankReward_rewardList_title,獲得報酬
dialog_bandRankReward_rewardList_description,獲得樂團ＲＮＡＫ的達成報酬了！
dialog_playerSearchError_message,沒有找到指定的玩家。
dialog_playerSearchError_title,錯誤
dialog_playerSearch_description,請輸入玩家ID。
dialog_playerSearch_searchButtonLabel,搜尋
dialog_billingNotSurpported_message,您所使用的裝置無法進行購買。
dialog_expendCP_title,選擇消費挑戰P
dialog_expendCP_warning,※消耗的挑戰P越多，就可以獲得越多活動P。\n※消耗挑戰P數不會影響SCORE。\n※挑戰樂曲中不會消耗LIVE Boost。
dialog_expendCP_shortage,所持挑戰P不足。
dialog_cheatError_message,因發生連線錯誤情形，\n返回標題畫面。
dialog_costume_getMessage,獲得了新的服裝。
dialog_costume_getTitle,獲得服裝
dialog_deckEditBandName_title,變更樂團名稱
dialog_deckEditDeleteDeck_message,將重置這個樂團。\n確定進行嗎？
dialog_deckEditDeleteDeck_title,重置
dialog_deckEditDeleteDeckDone_message,樂團已經重置了。
dialog_deckEditDeleteDeckDone_title,重置
dialog_deckEditDeleteDeckError_message,樂團的重置失敗了。
dialog_deckEditMainBandSelected_message,{0}已經設定為主力樂團。
dialog_deckEditMainBandSelected_title,主力樂團變更
dialog_deckEditNotEnoughMemberError_message,由於團員設定不足５人，\n所以無法設定為主力樂團。
dialog_deckEditSameCharacterTitle,替換確定
dialog_deckNameEdit_attentionMessage,限制於８個字以內
dialog_deckNameEdit_message,請輸入樂團名稱。
dialog_deckNameEdit_placeholder,樂團名稱
dialog_deckNameEdit_title,樂團名稱
dialog_deckRecommend_title,推薦編成
dialog_deckRecommend_captionPriority,優先順序
dialog_deckRecommend_caption,優先選擇樂團
dialog_deckRecommend_captionType,優先屬性
dialog_deckRecommend_noConditions,未指定
dialog_deckRecommend_priorityType,屬性
dialog_deckRecommend_priorityBand,樂團
dialog_deckRecommend_finishDeckChange,推薦樂團已編成
dialog_degreeDetail_title,稱號詳情
dialog_degreeDetail_acquiredCondition,說明
dialog_editUserName_title,輸入玩家名稱
dialog_editUserName_body,請輸入你的名字。
dialog_editUserName_limitWord,10個字以內
dialog_editUserName_canChangeMessage,※玩家名稱後續可以隨時變更※
dialog_encoreConfirm_title,再來一次LIVE
dialog_encoreConfirm_message,要進入同樣房間\n再次進行LIVE嗎？
dialog_episodeConfirm_message,要閱讀EPISODE「{0}」嗎？
dialog_episodeConfirm_title,EPISODE
dialog_episodeParamUp_title,EPISODE達成報酬
dialog_episodeParamUp_description,的\n數值提升了！
dialog_episodePlay_title,EPISODE
dialog_episodeRead_title,EPISODE達成報酬
dialog_episodeUnlock_message,確定消耗以下道具，\n解鎖EPISODE「{0}」嗎？
dialog_episodeUnlock_needLevelLabel,解鎖需達到等級 {0}以上
dialog_episodeUnlock_title,EPISODE解鎖
dialog_episodeUnlockedError_message,資料錯誤。
